Episode,Fault,Success,MTTD,MTTR,Messages
191,CommunicationLoss,True,3.8966648150834144,12.799582849323421,6
192,MissingData,True,1.91592659183315,7.410668449552184,3
193,CommunicationLoss,True,4.100660324082301,13.244779052861384,6
194,CommunicationLoss,True,3.617644353606168,11.70279425653403,6
195,PacketDelay,True,2.7389049122590134,9.92982584683014,5
196,PacketDelay,False,2.905219024682112,10.839270564440206,5
197,CommunicationLoss,True,3.9333057536154925,13.201699548693561,6
198,MissingData,True,2.1518987661495936,7.8187884360889415,3
199,CommunicationLoss,True,3.7111586049024794,12.018291401129991,6
200,CommunicationLoss,True,4.146219005360887,13.045993832131801,6
201,PacketDelay,True,2.8067605833454388,11.009049609042323,5
202,AnalyticsFailure,True,5.5015570947646575,19.56023421687096,8
203,PacketDelay,True,2.932986301199568,10.793796388844054,5
204,CommunicationLoss,True,3.9356347346637413,12.107825919323872,6
205,SensorDrift,False,1.7752010772122568,6.507492301608613,4
206,PacketDelay,False,2.6934605216569887,10.908022842579685,5
207,AnalyticsFailure,True,5.599480404601406,19.099906492573133,8
208,SensorDrift,True,1.6631953454053723,6.99879089351158,4
209,ActuatorFailure,True,5.399653592361249,16.113759659846263,7
210,CommunicationLoss,True,3.6269275430379855,13.102109941203304,6
211,GatewayFailure,True,5.038457433761258,13.806925057916795,7
212,CommunicationLoss,False,3.684601577676586,12.461437534504203,6
213,SensorDrift,True,1.673093601645829,6.863044460779437,4
214,ModelDrift,True,6.760579891339362,22.38845436053796,9
215,AnalyticsFailure,True,6.0539625613418515,16.88158741221259,8
216,SensorDrift,True,1.843676958237286,7.410204795848091,4
217,SensorDrift,True,1.6274058520325574,7.0891755434977,4
218,InformationDelay,True,2.5110233699375644,9.167258757905214,4
219,CommunicationLoss,True,3.8538063489740786,11.8643351317014,6
220,PacketDelay,False,2.724517829375165,11.058686711896382,5
221,ActuatorFailure,True,4.7484846738511175,16.41095100736981,7
222,PacketDelay,True,3.1316183580200616,10.505672647277665,5
223,AnalyticsFailure,False,5.724101697142603,18.46619780100915,8
224,ModelDrift,False,6.4445468479301935,19.35747739517501,9
